id,nome,quantidade_questoes,status
321,,0,NAO_ENCONTRADO
322,,0,NAO_ENCONTRADO
323,Edificações,7242,OK
324,,0,NAO_ENCONTRADO
325,Educação Artística,8966,OK
326,Educação Física,28643,OK
327,Eletricidade,6062,OK
328,,0,NAO_ENCONTRADO
329,Eletroeletrônica,666,OK
330,,0,NAO_ENCONTRADO
331,Eletrônica,2038,OK
332,Eletrotécnica,2883,OK
333,,0,NAO_ENCONTRADO
334,,0,NAO_ENCONTRADO
335,,0,NAO_ENCONTRADO
336,Engenharia Biomédica,507,OK
337,,0,NAO_ENCONTRADO
338,,0,NAO_ENCONTRADO
339,Engenharia de Agrimensura,1264,OK
340,,0,NAO_ENCONTRADO
341,Engenharia de Petróleo,1392,OK
342,,0,NAO_ENCONTRADO
343,Engenharia de Transportes e Trânsito,1444,OK
344,Engenharia Hidráulica,1888,OK
345,,0,NAO_ENCONTRADO
346,Engenharia Mecatrônica,399,OK
347,,0,NAO_ENCONTRADO
348,,0,NAO_ENCONTRADO
349,,0,NAO_ENCONTRADO
350,Enologia,88,OK
351,,0,NAO_ENCONTRADO
352,,0,NAO_ENCONTRADO
353,,0,NAO_ENCONTRADO
354,Francês,664,OK
355,,0,NAO_ENCONTRADO
356,Gastronomia,203,OK
357,,0,NAO_ENCONTRADO
358,Geologia,6761,OK
359,,0,NAO_ENCONTRADO
360,,0,NAO_ENCONTRADO
361,,0,NAO_ENCONTRADO
362,,0,NAO_ENCONTRADO
363,,0,NAO_ENCONTRADO
364,,0,NAO_ENCONTRADO
365,,0,NAO_ENCONTRADO
366,Hemoterapia,9,OK
367,Hidrologia,10,OK
368,,0,NAO_ENCONTRADO
369,,0,NAO_ENCONTRADO
370,Instrumentação Industrial,32,OK
371,Libras,8660,OK
372,,0,NAO_ENCONTRADO
373,,0,NAO_ENCONTRADO
374,,0,NAO_ENCONTRADO
375,,0,NAO_ENCONTRADO
376,,0,NAO_ENCONTRADO
377,,0,NAO_ENCONTRADO
378,,0,NAO_ENCONTRADO
379,,0,NAO_ENCONTRADO
380,,0,NAO_ENCONTRADO
381,,0,NAO_ENCONTRADO
382,,0,NAO_ENCONTRADO
383,,0,NAO_ENCONTRADO
384,,0,NAO_ENCONTRADO
385,,0,NAO_ENCONTRADO
386,,0,NAO_ENCONTRADO
387,,0,NAO_ENCONTRADO
388,Segurança,1,OK
389,,0,NAO_ENCONTRADO
390,,0,NAO_ENCONTRADO
391,,0,NAO_ENCONTRADO
392,,0,NAO_ENCONTRADO
393,,0,NAO_ENCONTRADO
394,,0,NAO_ENCONTRADO
395,,0,NAO_ENCONTRADO
396,,0,NAO_ENCONTRADO
397,,0,NAO_ENCONTRADO
398,,0,NAO_ENCONTRADO
399,,0,NAO_ENCONTRADO
400,,0,NAO_ENCONTRADO
401,,0,NAO_ENCONTRADO
402,,0,NAO_ENCONTRADO
403,,0,NAO_ENCONTRADO
404,,0,NAO_ENCONTRADO
405,,0,NAO_ENCONTRADO
406,,0,NAO_ENCONTRADO
407,,0,NAO_ENCONTRADO
408,Literatura,2191,OK
409,Logística,1842,OK
410,,0,NAO_ENCONTRADO
411,,0,NAO_ENCONTRADO
412,,0,NAO_ENCONTRADO
413,Mecânica,7011,OK
414,Mecânica de Autos,4095,OK
415,,0,NAO_ENCONTRADO
416,Mecatrônica,107,OK
417,Meio Ambiente,8232,OK
418,Metalurgia,2657288,OK
419,Meteorologia,1001,OK
420,Metrologia,5,OK
421,,0,NAO_ENCONTRADO
